 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23
Time(s)/Cell Status, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided
2.198284, -0.007280321, -0.04467659, -0.01165459, 0.00107993, 0.01747125, -0.013753, -0.03786503, -0.01543256, -0.03657501, -0.007430756, -0.02969777, -0.04310665, -0.01236121, -0.003894432, 0.006131751, 0.01719762, -0.02706232, -0.03061978, -0.01177541, 0.009456635, -0.009704862, -0.01077988, -0.009436151, -0.01564271
2.248245, -0.01385835, -0.04342403, -0.01044977, -0.006151021, 0.01729783, -0.009869684, -0.03758032, -0.01529146, -0.03361018, -0.001486316, -0.02749097, -0.03038661, -0.02034988, -0.008997966, 0.001150657, 0.01681397, -0.01855412, -0.02219273, -0.0162686, 0.01133435, -0.004608274, -0.007086877, -0.0022812, -0.006465686
2.298206, -0.007382778, -0.03797434, -0.007900544, -0.00680223, 0.01341033, 0.008848933, -0.03246282, -0.01404727, -0.02935354, 0.01864377, -0.01957826, -0.03254361, -0.01521535, -0.006302002, 0.008860372, 0.01467949, -0.01142783, -0.02045001, -0.008671999, 0.00717985, -0.007283884, -0.005988942, -0.008507696, -0.008596321
2.348167, -0.002349861, -0.03128149, -0.005418827, -0.0002519288, 0.01190501, 0.01893593, -0.02977944, -0.005835499, -0.02987482, 0.0323014, -0.02251623, -0.03316777, -0.01825436, -0.01425295, 0.009783141, 0.01377249, -0.008045478, -0.02448808, -0.01400539, 0.004007906, -0.005117471, -0.008106617, -0.001111364, -0.004950933
2.398128, -0.001292605, -0.0272838, -0.008427849, -0.0004263599, 0.006381849, 0.03339612, -0.03361717, -0.00926997, -0.02943863, 0.02889017, -0.01437997, -0.02368931, -0.0140918, -0.007201824, 0.00390237, 0.009347142, -0.007334473, -0.01865029, -0.009845788, 0.01236895, -0.0009888152, -0.01128248, -0.006184591, -0.0105734
2.448089, -0.003542009, -0.03186484, -0.01282173, -4.950701e-05, 0.01010635, 0.03458636, -0.0316432, -0.01606162, -0.02611159, 0.0379305, -0.009600199, -0.02728245, -0.01841023, -0.01092378, 0.006843354, 0.0103002, -0.002777801, -0.01608881, -0.009160448, 0.009841491, -0.00335478, -0.005873807, -0.009183805, -0.005008972
2.49805, -0.007572079, -0.03413338, -0.008163663, -0.0001931246, 0.01372468, 0.0329392, -0.02826709, -0.01712452, -0.02712879, 0.04078829, -0.01588043, -0.01867767, -0.0150591, -0.01080527, -5.075438e-05, 0.008987137, -0.0143418, -0.01552068, -0.008699219, 0.009332946, -0.004658115, -0.006145714, -0.01144772, -0.007129674
2.548011, -0.001422864, -0.02714894, -0.003351898, -0.007160739, 0.01147828, 0.03632893, -0.03716052, -0.01948028, -0.02933692, 0.04309003, -0.01606215, -0.02200292, -0.01553399, -0.007682266, 0.002948019, 0.006871415, -0.007761751, -0.01256774, -0.01104604, 0.00772478, -0.002530575, -0.01117051, -0.01104925, -0.005185122
2.597972, -0.00261661, -0.0302408, -0.01142986, -0.001922305, 0.01417973, 0.03113436, -0.03268697, -0.01871174, -0.03140844, 0.04217568, -0.01640603, -0.02396098, -0.01558622, -0.009941073, -0.003705658, 0.007109957, -0.00388494, -0.01866337, -0.01522581, 0.004334508, -0.001082578, -0.008737696, -0.006573231, -0.001074625
2.647933, -0.004824528, -0.02906426, -0.007693021, -0.0002469732, 0.005288571, 0.03155676, -0.03276033, -0.01927817, -0.0297292, 0.03751991, -0.0204749, -0.01658063, -0.01801724, -0.01342193, 0.0006366726, 0.00327829, -0.0100667, -0.01953347, -0.02396945, 0.004145869, -0.007584447, -0.01113526, -0.009057648, -0.001346068
2.697894, -0.007381847, -0.03060867, -0.00904068, -0.007139865, 0.009387553, 0.03390232, -0.03452514, -0.0149435, -0.03509733, 0.03830244, -0.02097418, -0.0251004, -0.01359091, -0.01472758, -0.001601648, 0.002131125, -0.0142118, -0.01776596, -0.01159426, 0.004462647, -0.002541622, -0.006994648, -0.007637878, -0.00393047
2.747855, -0.00848895, -0.0346669, -0.004848165, -0.008325981, 0.01073873, 0.02510033, -0.03233016, -0.01376145, -0.03800864, 0.0419934, -0.01559064, -0.02700644, -0.01694577, -0.01172127, 0.003525244, 0.003434036, -0.009010861, -0.01801372, -0.02075408, 0.004364735, -0.003531946, -0.005924635, -0.01034596, -0.00156755
2.797816, -0.008710659, -0.02985345, -0.003355262, -0.00300235, 0.008193575, 0.02757228, -0.03328592, -0.01438559, -0.03129375, 0.03750923, -0.01338472, -0.02262973, -0.01903541, -0.009114422, -0.004332777, 5.715776e-05, -0.01390907, -0.01824484, -0.009469545, 0.004879808, -0.00351563, -0.006054079, -0.01430746, -0.005973802
2.847777, -0.006151875, -0.03437135, -0.009670211, -0.006263415, 0.005763115, 0.0264379, -0.03911297, -0.01748962, -0.03701928, 0.03409697, -0.01366059, -0.0220268, -0.0180675, -0.008504361, -0.0043287, 0.002692538, -0.01297484, -0.0172358, -0.01502645, 0.0009798969, -0.004214856, -0.008181632, -0.008209755, -0.009760408
2.897738, -0.008729742, -0.03209339, -0.01306217, -0.008354228, 0.002330509, 0.02043289, -0.03287661, -0.01657478, -0.03391609, 0.03524225, -0.02462644, -0.02524817, -0.01671938, -0.0139187, -0.004619607, -0.001867085, -0.01336218, -0.01712722, -0.02122866, 0.00138123, -0.01282922, -0.01044552, -0.01209576, -0.00706036
2.947699, -0.009995904, -0.03407969, -0.01056963, -0.01067918, 0.004703784, 0.01772805, -0.03956036, -0.0212601, -0.03054257, 0.02405057, -0.02223338, -0.02646271, -0.0214197, -0.01911461, -0.006639702, 0.001189915, -0.01691133, -0.02078083, -0.01431962, -2.743612e-05, -0.00805074, -0.01243514, -0.01182259, -0.01257868
2.99766, -0.008584897, -0.03289877, -0.01411341, -0.006063123, -0.0006499466, 0.01280877, -0.0382524, -0.01817913, -0.03645024, 0.02139436, -0.02846421, -0.02913844, -0.02320236, -0.01316931, -0.003252548, 0.001867584, -0.01292567, -0.02281403, -0.02074097, 0.002284691, -0.01263302, -0.005639474, -0.008787666, -0.01299793
3.047621, -0.01312309, -0.03562418, -0.01296439, -0.0106693, -0.000554714, 0.01166621, -0.0469798, -0.01794992, -0.03945156, 0.0161229, -0.02465866, -0.01233174, -0.02572164, -0.01378147, -0.003335614, 0.0008119156, -0.01729549, -0.021272, -0.01463606, 0.005160365, -0.00848065, -0.01233502, -0.01218642, -0.01055741
3.097582, -0.01190054, -0.0313226, -0.01161778, -0.008744096, 0.0008130107, 0.01394645, -0.037465, -0.02163472, -0.03591559, 0.01300136, -0.02626385, -0.01768525, -0.0197952, -0.01401295, -0.003726642, 0.002113314, -0.02196101, -0.02530692, -0.01459659, 0.002939915, -0.008184079, -0.004081634, -0.01290743, -0.01421107
3.147543, -0.00635781, -0.03875281, -0.0157111, -0.00394967, 0.002342904, 0.01243002, -0.03953938, -0.01788312, -0.03936029, 0.01812561, -0.02108558, -0.0280117, -0.02047338, -0.01624036, -0.005300671, 0.0006885508, -0.01606704, -0.01874916, -0.02004006, 0.003953306, -0.01223179, -0.009590799, -0.01432757, -0.007360272
3.197504, -0.01127399, -0.03113427, -0.01358201, -0.004961881, 0.001242584, 0.01026935, -0.03679402, -0.01861303, -0.03713419, 0.0153461, -0.0202558, -0.01884117, -0.02224854, -0.01566533, -0.002019003, 0.00178913, -0.007448137, -0.02367684, -0.01641561, 0.0007743103, -0.01342392, -0.007458345, -0.01243542, -0.008785329
3.247465, -0.01492954, -0.03400721, -0.008257503, -0.01088192, 0.004831777, 0.007453739, -0.03606363, -0.01730737, -0.0274142, 0.01739639, -0.0264136, -0.02053033, -0.01982242, -0.009784983, -0.006051091, -0.002660349, -0.01152719, -0.01945193, -0.01507528, 0.0001207792, -0.005169887, -0.0001616825, -0.01229209, -0.01107139
3.297426, -0.01470803, -0.03760283, -0.01102167, -0.0102718, 0.007019516, 0.005918671, -0.03933264, -0.02269009, -0.03288279, 0.01735634, -0.01760152, -0.0283213, -0.02326806, -0.0107178, -0.008303953, -0.005805801, -0.007127217, -0.02438599, -0.01989224, 0.003355219, -0.00382311, -0.004075513, -0.01581096, -0.01161549
3.347387, -0.01821945, -0.03577077, -0.01007416, -0.01281866, 0.001894463, 0.006567937, -0.02885266, -0.02492977, -0.02214782, 0.01382916, -0.02581122, -0.03107215, -0.0175874, -0.01428525, -0.005772288, -0.007541421, -0.01721359, -0.02185562, -0.01988255, 0.0004447289, -0.003116417, -0.007282068, -0.006821042, -0.009973878
3.397348, -0.01352977, -0.02993086, -0.01748346, -0.008540159, 0.002740219, 0.005653272, -0.03546529, -0.02024899, -0.01772638, 0.0126739, -0.02117508, -0.0314961, -0.02535864, -0.01509262, -0.002991984, -0.003485912, -0.01517041, -0.02791553, -0.02502691, -0.0021263, -0.01829057, -0.006057567, -0.01402849, -0.008146686
3.447309, -0.01204589, -0.03320339, -0.01456091, -0.007137082, 0.004629395, 0.004694686, -0.02771026, -0.02431725, -0.01962473, 0.01314772, -0.02000769, -0.02804057, -0.0312414, -0.01188944, -0.003955542, -0.005032793, -0.007641542, -0.02541684, -0.01734807, 0.001039853, -0.01682833, -0.01314275, -0.01422285, -0.01125851
